,zcta,0,1,radm_rate
344,11779,8.0,1.0,0.1111111111111111
345,11780,2.0,0.0,0.0
346,11782,4.0,0.0,0.0
347,11783,7.0,0.0,0.0
348,11784,6.0,0.0,0.0
349,11786,1.0,0.0,0.0
350,11787,10.0,1.0,0.09090909090909091
351,11788,3.0,1.0,0.25
352,11789,1.0,1.0,0.5
353,11790,3.0,1.0,0.25
354,11791,6.0,0.0,0.0
355,11792,1.0,0.0,0.0
356,11793,9.0,1.0,0.1
357,11795,4.0,0.0,0.0
358,11797,2.0,2.0,0.5
359,11798,1.0,1.0,0.5
360,11801,4.0,2.0,0.3333333333333333
361,11803,7.0,1.0,0.125
362,11804,1.0,0.0,0.0
363,11901,9.0,0.0,0.0
364,11933,3.0,1.0,0.25
365,11934,3.0,1.0,0.25
366,11937,4.0,0.0,0.0
367,11941,1.0,0.0,0.0
368,11942,0.0,1.0,0.0
369,11944,1.0,0.0,0.0
370,11946,2.0,1.0,0.3333333333333333
371,11949,3.0,3.0,0.5
372,11951,3.0,0.0,0.0
373,11953,6.0,3.0,0.3333333333333333
374,11954,1.0,0.0,0.0
375,11955,1.0,0.0,0.0
376,11961,5.0,2.0,0.2857142857142857
377,11963,2.0,0.0,0.0
378,11964,1.0,0.0,0.0
379,11967,6.0,0.0,0.0
380,11968,4.0,0.0,0.0
381,11970,1.0,0.0,0.0
382,11971,4.0,0.0,0.0
383,11976,0.0,1.0,0.0
384,11977,2.0,0.0,0.0
385,11978,1.0,0.0,0.0
386,12008,1.0,0.0,0.0
387,12009,1.0,1.0,0.5
388,12010,3.0,0.0,0.0
389,12019,2.0,0.0,0.0
390,12020,3.0,0.0,0.0
391,12025,2.0,0.0,0.0
392,12027,1.0,0.0,0.0
393,12028,1.0,0.0,0.0
394,12029,2.0,0.0,0.0
395,12037,1.0,0.0,0.0
396,12043,4.0,0.0,0.0
397,12046,1.0,0.0,0.0
398,12047,2.0,0.0,0.0
399,12051,2.0,0.0,0.0
400,12054,1.0,0.0,0.0
401,12058,2.0,0.0,0.0
402,12060,1.0,0.0,0.0
403,12061,1.0,0.0,0.0
404,12063,0.0,1.0,0.0
405,12065,5.0,1.0,0.16666666666666666
406,12075,1.0,0.0,0.0
407,12076,1.0,0.0,0.0
408,12077,1.0,0.0,0.0
409,12078,4.0,0.0,0.0
410,12083,1.0,1.0,0.5
411,12086,1.0,0.0,0.0
412,12093,0.0,1.0,0.0
413,12095,1.0,0.0,0.0
414,12110,4.0,0.0,0.0
415,12117,2.0,0.0,0.0
416,12118,4.0,0.0,0.0
417,12123,1.0,0.0,0.0
418,12125,1.0,1.0,0.5
419,12131,1.0,0.0,0.0
420,12132,0.0,1.0,0.0
421,12137,1.0,0.0,0.0
422,12138,1.0,0.0,0.0
423,12144,5.0,0.0,0.0
424,12147,1.0,1.0,0.5
425,12148,1.0,0.0,0.0
426,12155,0.0,1.0,0.0
427,12156,0.0,1.0,0.0
428,12157,1.0,0.0,0.0
429,12158,1.0,1.0,0.5
430,12159,1.0,0.0,0.0
431,12169,0.0,1.0,0.0
432,12170,1.0,0.0,0.0
433,12173,1.0,0.0,0.0
434,12180,6.0,0.0,0.0
435,12182,1.0,0.0,0.0
